"2017-En-40023","	Este la mayoría de mierda de deprimir nunca	","sadness", 0.861
"2017-En-40906","	Qué es la aflicción peor que te o alguien  sabes nunca te convenció  tuviste ?	","sadness", 0.458
"2017-En-40220","	Debido a ' fracaso de entrega puntualmente ', un cliente tiene que paga 16K rupias más! - No bien @tiagotatamotors @TataMotors #infeliz	","sadness", 0.625
"2017-En-40476","	NL  superior bureaucrat es un director de un grupo formó a oppose NL  superior megaproject . #nlpoli - Nunca atenuar	","sadness", 0.417
"2017-En-41060","	Fam qué parece más divertido para una foto booth : siendo capaz a instantáneamente correo a Twitter o teniendo que esperar hasta sereno de ver el desorden caliente	","sadness", 0.333
"2017-En-41226","	Inadequacy slithers de sus orejas y se envuelve alrededor de su cuello como los chicos le quiere encantar . #mpy #vss #Cita #poesía #de depresión	","sadness", 0.562
"2017-En-40917","	Candice  pout va a tomar alguien ojo fuera compañero ! #GBBO	","sadness", 0.312
"2017-En-41191","	Es justo me o es esto un tiempo muy extraño para el mundo ? #Ilustración #de cambio #gloomy #suspiro #extraño #imaginepeace #imaginelove #une	","sadness", 0.758
"2017-En-40447","	A veces pienso que el paisaje político británico es desolate y entonces  miro encima en el espumando wasteland de los EE.UU. y pensar  somos VALE	","sadness", 0.438
"2017-En-40817","	Este mundo tiene algunos asuntos serios  tenemos que todos van a terapia	","sadness", 0.750
"2017-En-41192","	@username Huh ! Es siempre mi culpa no es lo >:( #huff #sulk	","sadness", 0.771
"2017-En-40526","	las personas me quieren para ir pino ridge, poca herida u Oelrichs. Empezando para pensar aproximadamente transfiriendo pero  quiero estancia en nube. Hombre de decisiones.	","sadness", 0.396
"2017-En-40201","	No es el entero '  está sido hijacked ' argumento el mismo argumento utilizó para prohibir o desalentar la exhibición del St Cross de George ? Vergüenza @username	","sadness", 0.636
"2017-En-40423","	la historia que repite él .. GAA Es nuestra cultura cómo osa cualquiera piensa que es vale para desalentar cualquier persona irlandesa de atender cualquier partido o final	","sadness", 0.458
"2017-En-40279","	@username no me deja	","sadness", 0.583
"2017-En-40934","	@username / / esto es tristemente lo que mi profesor de historia habló aproximadamente por qué el jode   recuerdo aquello ? !	","sadness", 0.604
"2017-En-40465","	@username @username @username Triste . Esto no es filmar historia . Quién sabe podría ser ploy a escalate tensión . Unverified Informe ningún hype	","sadness", 0.438
"2017-En-41141","	@username la rabia feliz triste melancholy confusión #woodspurge	","sadness", 0.729
"2017-En-40757","	@username  esto ser aireado en radiofónico o filmó ? Muchos seguidores sobre el pond también ! #wales	","sadness", 0.188
"2017-En-40326","	Qué es bien es que nosotros ya tocados fondo, incluso aunque  soy aproximadamente dos más estaciones fuera de profundidades nuevas de desesperación. #Play off? #NJDevils	","sadness", 0.542
"2017-En-40315","	@username #Bolsa #perdida #stillwaiting va en casa innumdays . DM'd te mi info y ha rung numtimes un día . Qué más puede  hago ? #wheresmybag	","sadness", 0.542
"2017-En-40298","	num Semanas al curso y ha tenido la cocina se hunde echada en mí, yo m todavía estirando cuchillos y tenedores fuera de mis orejas	","sadness", 0.562
"2017-En-21814","	Marcus Roho es terrible	","sadness", 0.521
"2017-En-40957","	eun : im realmente infeliz con este e i dont como su gustar que pls dont \ n \ nyall : vale pero le encanta	","sadness", 0.604
"2017-En-40395","	@username haha ! ! No, triste fue demasiado siniestro incluso para ti?!  Me perturbé &amp; im empezando para perder toda confianza en Twitter generalmente!!	","sadness", 0.479
"2017-En-40799","	@username @username Es que realmente todo  puedes ofrecer para quienes sacrifican diariamente para mantenerte seguro ... ? @username	","sadness", 0.375
"2017-En-41375","	RM Ganará el juego en los últimos minutos y Madridistas dirá Cules quedado este largo mirando RM gana al final . Asqueroso fanbase	","sadness", 0.521
"2017-En-41384","	Bain de mi vida teniendo que conducir a un punto de dinero efectivo, Entonces a una tienda para cambio en monedas de libra, Entonces al gimnasio todo para un bastardo sunbed. #Siniestro	","sadness", 0.542
"2017-En-40862","	HartRamsey UPLIFT Si eres todavía desalentado  significa  estás escuchando a las voces incorrectas que & miran a la fuente incorrecta.Mirada al SEÑOR !	","sadness", 0.396
"2017-En-40986","	Afortunadamente  estuve ayudado por algunas personas buenas . Y ellos también dirigidos para liberarme de mi depresión . Desafortunadamente sólo dure un poco mientras .	","sadness", 0.715
"2017-En-40951","	Sido un rato desde entonces I sido sereno . Esta vida puede ser tan dura	","sadness", 0.729
"2017-En-40706","	Oh bondad me está encantando este día lluvioso . Es una cabeza abajo, #gorra creativa encima, &amp; consigue #perdido en vuestra #clase de pensamientos de arte 💭 ☺️ #de día #crea #biz	","sadness", 0.250
"2017-En-40232","	Lo que un día triste ... numst Día de Caída ... No desagrado Caída ... Yo justo Verano de AMOR #FirstDayofFall #goodbyesummer #tristeza #bathingsuitsforever	","sadness", 0.604
"2017-En-21642","	@username Picor de desesperación	","sadness", 0.500
"2017-En-40307","	del adiós algo #serio RN no ha dormido pero considerando tomando como num Benadryl para un num min nap soy picor TAN MAL uau	","sadness", 0.542
"2017-En-40600","	@username dicen que atraes qué  ves, quizás no tendría que ser un pessimist pero no quiero tomar cualesquier posibilidades lol no puede esperar para reubicar	","sadness", 0.333
"2017-En-41155","	@username  tenemos la misma edad y tú son num tiempo más bonito que me ! #Triste 😂	","sadness", 0.521
"2017-En-40605","	@username 🤓 dont ser triste .. btw Noche buena davina .. Va sueño larh ..	","sadness", 0.333
"2017-En-40357","	Consiguió pagado a vacuum arriba rata poop . (-: Nunca un atenuar día en el departamento de biología ...	","sadness", 0.521
"2017-En-40636","	Tenido un sueño anoche que Chris Brown creó un diss pista aproximadamente Drake y Rihanna llamado '  Lo Pegué Primero ' 😳 😳 #oscuridad	","sadness", 0.312
"2017-En-40093","	. @username @username Oficial tacto entrado . Emite no dirigido . #Infeliz #patheticservices	","sadness", 0.729
"2017-En-41161","	Tan eres infeliz ?	","sadness", 0.479
"2017-En-40837","	@username  Siento para el director esta noche, es dolor tomado evidentemente sobre el últimas pocas semanas, suena cansado de disculparse!	","sadness", 0.667
"2017-En-40348","	@username Probado num consigue más temprano flt numday @username Turnd fuera bcuz lo era num tarde Entonces el agente dejado otro pas en #silvereliteleftbehind	","sadness", 0.521
"2017-En-40278","	stg I sido en risco de pino toda mañana y para cabrearme incluso más, mi damn los zapatos entraron como medida 4!!!!!!  SÉ  DIJE 6🙄🙄🙄🙄 FML	","sadness", 0.583
"2017-En-40542","	@username duro de decir en vuestro pic . Mi equivocación entonces . Cualquier manera, nada  dije inicialmente era aproximadamente carrera. U Lo tomó allí.  #Ignorante	","sadness", 0.375
"2017-En-40624","	Para aquellos de ti quién  tengo imágenes de pero didn ' t marca él a esta mezcla — don ' t conseguir desalentado !  Corrí fuera de habitación en el batió esta semana .	","sadness", 0.312
"2017-En-41178","	@username Sí Lia ! ! Unir el lado oscuro ! !	","sadness", 0.250
"2017-En-40839","	ODIO que hay anuncios para #depresión & #mentalhealth #meds . Aquello es SÓLO algo vuestro doctor puede determinar . Todo el mundo es diferente . #ssri	","sadness", 0.460
"2017-En-40802","	[ @username ] *  Arrugue la frente un poco, plegando sus armas* 'por qué es que cada vez  soy en necesidad de asistencia alguien espera un lil **	","sadness", 0.562
"2017-En-41040","	@username el ser con tú me hago un poco gloomy .	","sadness", 0.800
"2017-En-40248","	Si eres infeliz con alguien justo maldito decirles eres infeliz y dejar . No va fuckin alrededor con otras personas en el lado	","sadness", 0.604
"2017-En-40253","	@username @username MSM relentlessly refrán DT no puede ganar a : deprime GOP la concurrencia & proporciona cubierta num elección robada !	","sadness", 0.604
"2017-En-40845","	 Somos sobre un poco sobre una hora fuera !  Llegaremos pronto,  no fret!	","sadness", 0.125
"2017-En-41378","	@username @username  Soy allí ... Dejado me saber	","sadness", 0.292
"2017-En-40718","	Aprendiendo para confiar en el dios puede tranquilo un corazón & inquieto atribulado, trae paz a una alma cansada, &amp; eliminar el hopelessness que #la adicción es!	","sadness", 0.240
"2017-En-40157","	@username gracias,  lloraré su	","sadness", 0.667
"2017-En-41122","	#recesión, #económico #gloom? El brillo #de estrellas más brillante en las noches más oscuras! Nuestro #html5 #webdesign rocas! #rtblitz #finovate #wlsb	","sadness", 0.521
"2017-En-41039","	@username Vuestro pie está arrugando la frente .	","sadness", 0.229
"2017-En-40241","	i Perder el tipo que siempre me hace sulk	","sadness", 0.604
"2017-En-40455","	@username otherwise  estás cometiendo un delito contra vuestra alma sólo serena ppl saber qué es bueno o malo para ellos	","sadness", 0.438
"2017-En-40350","	Tan ahora ... yeah .  Soy en casa otra vez . \ nStill El sentimiento mezclado arriba dentro de & kinda gloomy . Pero un poco más optimista que  representaré esto fuera .	","sadness", 0.521
"2017-En-41441","	@username Dijo @username no sólo no jugó arriba de HRC en hacer campaña num su en OH pero no desalente numrd voto de Partido . CIERTO ? ?	","sadness", 0.396
"2017-En-40626","	Ordenado mis vacaciones que bañan trajes . Uno menos cosa a fret aproximadamente .	","sadness", 0.312
"2017-En-40778","	@username El rojo uno miraría super bastante con un bronzy glowy mirada de maquillaje de labio desnuda ! numrd El negro sería bastante con un labio oscuro ! 😍	","sadness", 0.125
"2017-En-41525","	Nutella Es verde de pino me olvido nots es el marfil congelado es	","sadness", 0.125
"2017-En-41292","	dios Quizás  puedo dormir con mi chem libro en mi cabeza y él  todos se hunden en mi cerebro	","sadness", 0.438
"2017-En-41120","	Mi productor está mezclando y mastering las canciones ahora para #murky #libreta #mixtape \ nThe la cinta será fuera pronto para descarga libre 🔥 🎶 💨 💯	","sadness", 0.229
"2017-En-41223","	@username @username  se ha quedado del bloque casi toda estación, salió personas que era bien para su juego, pero nadie parecía	","sadness", 0.333
"2017-En-40458","	@username oh querido  tengo que mirar esto la mujer con el pout hizo bien	","sadness", 0.438
"2017-En-40155","	 era en la habitación oscura para num minutos y falló cada vez  probé desarrollar una foto soy tan frustrado con yo :')	","sadness", 0.667
"2017-En-40691","	“ el optimismo a veces puede ser delusional, pero el pesimismo es siempre delusional.” —Alan Cohen #cree	","sadness", 0.271
"2017-En-41152","	Dios  te das todo mi desorden de dolor y tensión . Tomar mi carga pesada . #Dolor #de desorden #de tensión #de amén #tristeza #de depresión	","sadness", 0.854
"2017-En-40430","	@username totalmente conseguirlo . Cuándo  has dicho ningún a donuts num tiempo una semana y perdió num.num lbs  Consigues desalentado ! Pero no es lineal 😘	","sadness", 0.458
"2017-En-40618","	no crece cansado en hacer bueno . ' \ n \ n - @username	","sadness", 0.325
"2017-En-40080","	En salud nosotros  un pensar aproximadamente depresión y ahora i siente como i tiene	","sadness", 0.750
"2017-En-40900","	se Dirija a MDW w / layover en SLC . Marchado para alimentario . Movimiento incorrecto . Bailed En mi alimentario & apenas lo hizo . @username #WannaGetAway #El concurso #triste	","sadness", 0.750
"2017-En-40223","	@username al menos en cristal cada parte de él está retratada cuando siendo MAL, la atmósfera oscura, el hecho que mamoru es brainwashed	","sadness", 0.613
"2017-En-40267","	 perdimos	","sadness", 0.583
"2017-En-40825","	@username @username hola Dom  vi u en Notts condado fuera, buscando 1 mufc fuera el ticket pagará #blues	","sadness", 0.438
"2017-En-41065","	Mi célula no aguantará una tristeza 😢 #de cargo Así que tener que I ...	","sadness", 0.604
"2017-En-40111","	@username Literalmente era gloomy para una hora	","sadness", 0.729
"2017-En-40663","	@username ... Por ejemplo, cogiendo un gloom cedería 6 oddish caramelos y cogiendo un vileplume cedería 9.	","sadness", 0.292
"2017-En-41517","	@username @username @username @username  Sería perched encima que, desafortunadamente envuelto en cadenas pesadas! #se hunde...	","sadness", 0.458
"2017-En-41351","	#PeopleLikeMeBecause  Ven el felices exteriores, no el hopelessness I a veces sentir interior.  #Ansiedad #anxietyprobz	","sadness", 0.729
"2017-En-40477","	@username @username bien naturalmente.El progreso por el bien de progreso tiene que ser desalentado . El problema es la sustancia de la retórica	","sadness", 0.417
"2017-En-41179","	@username \ nSo entristecer \ nSpunky un perro bonito \ nA historia triste un precioso feliz \ nAn perro encantado \ nPlay poco uno tiene divertido te \ nare tan encantado	","sadness", 0.452
"2017-En-41322","	Qué I daría \ nTo sentir el sol en mi cara \ nWhat  daría \ nTo ser perdido en vuestro abrazo 🎧 \ n \ n #Caído	","sadness", 0.562
"2017-En-41150","	no consigue #cansado en bien haciendo . \ n #Oración #de Dios #de la fe que	","sadness", 0.208
"2017-En-40058","	Lleva todo negro mañana cuando  continúo llorar las vidas de las víctimas más recientes de brutalidad policial . #Apagón #WU	","sadness", 0.779
"2017-En-41237","	i realmente quiere leer este fic i encontrado pero es #serio y esta habitación es llena de #memes	","sadness", 0.292
"2017-En-41390","	Siente gusta  perdí mi amigo mejor #perdió #fml #missingyou	","sadness", 0.833
"2017-En-40089","	@username me llamo ahora  estoy poniendo en mi cama moping gusta  pretendo hacer para el próximo num meses .	","sadness", 0.740
"2017-En-41409","	se tendría que haber quedado en la causa escolar no es nadie aquí	","sadness", 0.417
"2017-En-40755","	@username hannah la parón que es mournful y el frío 💁	","sadness", 0.188
"2017-En-41217","	Toma corazón entre el profundizando gloom que vuestro perro finalmente está consiguiendo bastante queso . ― Nacional Lampoon, 'Deteriorada'	","sadness", 0.521
"2017-En-40355","	 queremos ayudar tú con vuestra #depresión . Dar nuestra oficina una llamada para aprender qué #TMS puede ser el tratamiento  has sido esperando a !	","sadness", 0.521
"2017-En-41317","	Sejejs Dice Cibulskis tiempo perdido en numrd periodo debido a un daño . No comentaría encima qué serio  es . Aparentemente no un doctor .	","sadness", 0.420
"2017-En-41426","	@username  He num & aquello es el único uno no me gustó 😂 la mina sale patchy . Es el color oscuro único por su I haber tho .	","sadness", 0.312
"2017-En-20706","	Hennessey - Terrible . Mutch - Es incluso en el campo ? Fryers - Fuera de su profundidad desafortunadamente . #CPFC	","sadness", 0.604
"2017-En-40785","	Literalmente puedo comer creamy pesto pasta coronado con pollo a la parrilla, el sol secó tomates, asparagus y frutos secos de pino cada día solo de mi vida	","sadness", 0.083
"2017-En-41413","	* quiere cuerpo para mirar una manera segura * \ n * come num galletas, mac n queso, la cocina se hunde, y niño de vecino pequeño*	","sadness", 0.375
"2017-En-40625","	@username es cierto también que no huye hasta que casi todo el coche se hundió	","sadness", 0.312
"2017-En-40964","	Un punto : DSP reclamaciones YTers perdidos a medias su viewership en num si no utilizaban captura directa . Aquello es cuándo los cambios de búsqueda pasó	","sadness", 0.271
"2017-En-40649","	Bendecido es quienes lloran, para serán consolados \n                                              Mt 5:4	","sadness", 0.312
"2017-En-40849","	aaahhh ! Un poco @username para amansar el alma . #Música	","sadness", 0.250
"2017-En-41438","	@username nunca un atenuar momento, esperanza  tuviste un gd viaje abajo	","sadness", 0.167
"2017-En-40683","	“  no fret si no eres enfriar ! Humanos que me siguen, devenidos instantáneamente frescos!” #Bot	","sadness", 0.271
"2017-En-40723","	Dejado el #MrRobot binge empieza . #nerdshow #Obligando #oscuro	","sadness", 0.229
"2017-En-41320","	Cuddling literalmente mata depresión, alivia ansiedad, y fortalece el sistema inmunitario.	","sadness", 0.292
"2017-En-40010","	Honestamente la depresión está chutando mi asno últimamente .. 😔	","sadness", 0.896
"2017-En-40734","	Isaiah num:num \ nthose quiénes confían en en el Señor encontrará fuerza nueva . \ nThey Voluntad soar alto en alas como águilas . \ nThey Correrá y no crecer cansado .	","sadness", 0.214
"2017-En-40272","	De qué I sabe del hombre,  tengo que suponer que @realDonaldTrump ha tenido un argumento calentado con su pene propio. #Triste	","sadness", 0.583
"2017-En-40722","	Ser fuerte & brioso . No es aterrorizado o desanimado, para el SEÑOR vuestro Dios será contigo wherever  vas.	","sadness", 0.229
"2017-En-41169","	@username Vuelta que arruga la frente al revés buddy 🙃 .	","sadness", 0.292
"2017-En-41207","	Tiene el septiembre sido atenúa ? Consigue #SuperSeptember de Jumia Comida como usuario nuevo . Orden del Sitio, Barcelos o Shawarma &amp; Co para 30% de #FF	","sadness", 0.292
"2017-En-40714","	\ n \ n @username \ n \ n #alma #blues & #banda #de rock \ n \ n #música del #corazón \ n \ nWith pasión & #de alma \ n \ nXx 🎶 xX	","sadness", 0.250
"2017-En-20622","	Cómo puede  culpas el director que mira este juego de jugadores ? Es abismal . Nuestro equipo es terrible . Si Jose no nos puede salvar . Nadie puede . #mufc	","sadness", 0.604
"2017-En-41185","	@username @username Bien . Toma más músculos para arrugar la frente que sonrisa	","sadness", 0.375
"2017-En-40074","	no pienso  puedo ir para trabajar mañana desde val ha a la izquierda #GBBO  necesito un día para llorar	","sadness", 0.754
"2017-En-40440","	Soy una persona muy vieja no puedo manejar algún material ... lol I justo le dejó allí ... Vuelve a mí cuándo eres Chico	","sadness", 0.455
"2017-En-41516","	sereno oh chico ! Nuestro weekday el programa es loco ! Pero ningún asunto cómo cansado soy  cualquier cosa  toma para mantener la sonrisa encima la cara de Kai de un arrugar la frente	","sadness", 0.333
"2017-En-40968","	Qué  pensamos,  devenimos. -Buddha #Adicción #de recuperación #serena #sobriety	","sadness", 0.333
"2017-En-41298","	Encabezando casa para cortar hierba en el calor . Todo  quiero hacer es sale para comer en algún lugar el aire condicionó . #pout #AdultingIsTheWorst	","sadness", 0.354
"2017-En-41099","	@username @username \ nConfidence Aguantado arriba ... A pesar de constante y continual hado y gloom	","sadness", 0.646
"2017-En-41363","	 siento como un apéndice . No tengo un propósito . #Depresión #deprimida #triste #sólo #grito #de tristeza #roto #solitario #hace daño #llorar #Agradecimiento	","sadness", 0.917
"2017-En-41290","	#de vida - Dios de amor de salud de recuperación esperanza de paseo consciente perseverance la casa rica bromea SoCal #recoveryfit youthful #sereno	","sadness", 0.292
"2017-En-40653","	Dejado es consigue bebido y decir cada cual otras cosas somos temerosos de decir cuándo somos serenos .	","sadness", 0.303
"2017-En-40596","	Algunas #personas ya charlas sobre #Halloween \ nYou'll conseguir algunos #música #oscura para ir con él \ n #gothic #sangriento #HalloweenHorrorNights	","sadness", 0.333
"2017-En-41463","	Bien,  tuve esperanzas para hoy. Ningún ir. #Infeliz	","sadness", 0.750
"2017-En-41153","	Todo  estoy aprendiendo aproximadamente en universitario atm es Sylvia Plath, las purgas de Stalin y desastres naturales, gloomy af	","sadness", 0.792
"2017-En-40537","	Fellaini ha sido jugando al frente de este tipo ... Justo dejado aquello se hunde en	","sadness", 0.375
"2017-En-41224","	@username da las gracias por hacer me super triste aproximadamente Pizza . #freepizza	","sadness", 0.521
"2017-En-40719","	Un pessimist ve la dificultad en cada oportunidad ; un optimista ve la oportunidad en cada dificultad . \ n ― Winston S . Churchill #cita	","sadness", 0.238
"2017-En-41106","	Pero lo que la voluntad que reniega, pesimismo, remordimiento, y la rabia te consigues?	","sadness", 0.521
"2017-En-40364","	Si has sido encima depresión demasiado u no tendría que ser juzgándole y exponiéndole a todo el mundo, pero ayudándole	","sadness", 0.520
"2017-En-40834","	Sooo mal quiere teñir mi oscuridad de cabello pero nunca ha sido oscuro antes de sooo desgarrado 😭 😭 😭	","sadness", 0.500
"2017-En-41244","	El #equivalente sereno de ser en unas #mujeres de barra  restroom es el #salon . Todo el mundo compliments cada cual otro & amigado . Me encanta	","sadness", 0.271
"2017-En-21304","	@username vale, thats lo. Después de que 2 semanas no siendo capaces de firmar en, tiempo para mover en &amp; encontrar otra aplicación. Fuertemente desalentaré NikeRun	","sadness", 0.500
"2017-En-40227","	@username Esto es la pieza más siniestra de risa  era stricken con todo el día .	","sadness", 0.604
"2017-En-40517","	@username  Está supuesto para ser #oscuro y #gritty aunque	","sadness", 0.396
"2017-En-41184","	el dentista justo dicho a mí '  estoy yendo a numb vuestro labio de frente arriba tan  sienta como si  tienes labios como Pete Quemaduras ! ... Sea correcta #pout	","sadness", 0.417
"2017-En-41236","	@username Darius ' el artículo era qué convencido me que el tiempo y dinero  me había hundido al IGDA en los años pasados estuvo malgastado . Bueno re-leído .	","sadness", 0.438
"2017-En-40800","	“ La dislexia es la aflicción de un genio congelado . ” ― Stephen Richards	","sadness", 0.333
"2017-En-20525","	Caballero  restos de paso absolutamente terribles I ve !	","sadness", 0.667
"2017-En-40235","	@username *  Arrugo la frente y taza vuestras mejillas en mis manos después de que  das un paso aparte . * Angela I cuidado aproximadamente te . Y no sé qué más I lata -	","sadness", 0.604
"2017-En-41397","	Lo ' s posible cambiando meds es más no hecho mientras debajo tensión . Difícil de decir qué parte de desesperación es coyuntural, qué es fármacos.	","sadness", 0.688
"2017-En-41083","	 Sé pocos llorarán la pérdida de la escapada Grande del punto de sutura, pero...Ve, ESTO es la clase de costado-tajante en parques realmente no me preocupo para.	","sadness", 0.619
"2017-En-41387","	@username La ciudad es famosa para el shambles, tristemente la calle vieja en los juegos de centro segundo fiddle al estadio debacle hoy en día!	","sadness", 0.604
"2017-En-41092","	Sintiendo #gloomy	","sadness", 0.793
"2017-En-40558","	soy tiempo demasiado sereno para conseguir la mierda afrontó	","sadness", 0.360
"2017-En-40330","	@username @username bien,  tienen que todo ser infeliz para la manera  jugaron.  Correcto @fmjacob ??	","sadness", 0.542
"2017-En-40243","	La causa falla o pase I residuos para ser serenos	","sadness", 0.604
"2017-En-40740","	el rappers quién se quedó cierto al juego es rico .	","sadness", 0.208
"2017-En-40923","	 Dije mi terapeuta que  soy en el equipo de baile y ahora es infeliz conmigo .	","sadness", 0.521
"2017-En-40659","	@username @username Oh Sí, los machos son coloridos y las Mujeres son atenúa, de modo que  pueden blend en a su entorno.	","sadness", 0.292
"2017-En-40716","	A veces no puedo creer  lo he hecho esto lejos . num Días ! !  Tiré mis demonios n conseguidos #serenos #limpios, n recuperación #empezada.#Sobriety Es #2.	","sadness", 0.250
"2017-En-40191","	Es ahora septiembre y todavía estamos batallando una situación que estuvo dicho para ser Marcha manejada de este año . @username Esto es inaceptable	","sadness", 0.646
"2017-En-40076","	@username no puedo ayudar pero sentir melancólico !	","sadness", 0.750
"2017-En-40993","	 Lloro . ha .. r / ambe se arruinó . Qué era una vez un actual shitpost aproximadamente los delitos de Tony era hijacked por no tan vaguely racistas memers	","sadness", 0.667
"2017-En-40339","	un buenos shorty ha tanto para ofrecer & es triste que algunos de ti niggas  no incluso verlo cuándo ella justo delante de vuestra cara y demasiado tarde	","sadness", 0.521
"2017-En-41050","	A veces  toma #tristeza para saber felicidad, #ruido para apreciar #silencio y ausencia para valorar presencia.	","sadness", 0.562
"2017-En-41466","	 He sido encantándote demasiado mucho tiempo #OtisRedding #blues	","sadness", 0.292
"2017-En-41029","	nosotros nunca felicidad de gusto en perfección, nuestros la mayoría de éxitos afortunados están mezclados con tristeza. #Perfección  #de éxito #afortunada #mezclado	","sadness", 0.438
"2017-En-40996","	estoy llevando amarillo hoy para traer un poco sol a este gloomy día #yourewelcome	","sadness", 0.396
"2017-En-40742","	@username @username varsity el pino que monta	","sadness", 0.208
"2017-En-40728","	ahora jugando yung fav canción ni chavs #sereno 😂	","sadness", 0.229
"2017-En-40097","	@username justo vino de BAnum en @username al menos num pasajeros con bolsas rotas . Esto era una maleta nueva . #Cliente infeliz	","sadness", 0.729
"2017-En-41044","	Wrinkles meramente tendría que esconder dónde arruga la frente ha sido . - Mark Twain	","sadness", 0.333
"2017-En-40883","	@username comunidad policing ! ! ! Qué es aquello ? ? #Perdido	","sadness", 0.418
"2017-En-41129","	 deseo  podría vivir en vosotros realidad donde i puede apenar sobre personas i nunca conoció . A malo i consiguió HERMANOS muriendo izquierdos y correctos .	","sadness", 0.854
"2017-En-41265","	Las personas están probando demasiado duras de odiar en Cam Newton sin comprensivo su ser	","sadness", 0.354
"2017-En-40404","	de Pitt de Brad de posición investigado para abuso de niño ? ! Esto todo justo conseguido realmente #oscuro	","sadness", 0.479
"2017-En-40153","	@username tristemente esta clase del cartel muerto por el nums afaik	","sadness", 0.669
"2017-En-41193","	Pussies - En la oscuridad,  son todo el mismo	","sadness", 0.417
"2017-En-40200","	Pero cuándo mi mamá me dije ayer que mire siniestro y  empecé conducir allí,  estuve dicho para girar alrededor de b/c sea demasiado enferma	","sadness", 0.640
"2017-En-21422","	@username Aw ningún problema . Yo justo sentido gusta hablar porque  sentía igual antes de que y  te quieres para vencerlo y no ser desalentado . :)	","sadness", 0.354
"2017-En-41235","	@username Justo verterlo abajo el hundirse y dejado le bebida tú .	","sadness", 0.354
"2017-En-41020","	Extracción a toda costa de costar un lamentable respuesta : ajvKSK	","sadness", 0.339
"2017-En-40284","	te nunca llamarme cuándo vuestro sereno	","sadness", 0.562
"2017-En-40417","	@username @username @username @username complacer . O  podrías ser clouded por vuestra pasión . Ventajas de emoción tú de la verdad .	","sadness", 0.458
"2017-En-40704","	Hola Horror #amigo #creepy #oscuro #stange #seguidores de historia, cómo es vuestro día? #followme Y yo  #followback	","sadness", 0.263
"2017-En-40379","	Qué día es #perdido	","sadness", 0.500
"2017-En-40758","	día Muy largo . Da las gracias a bondad para Cocer Fuera a brighten arriba de un miércoles cansado ☺ #GBBO	","sadness", 0.188
"2017-En-40966","	Ningún pessimist nunca descubrió el secreto de las estrellas,o navegados a un uncharted tierra,o abrió un nuevo doorway para el espíritu humano.-H.Keller	","sadness", 0.271
"2017-En-40689","	Atrás a obra de bosque - \ nfrom mi #música #de Bosque - series, 2016\n#naturaleza #fotografía #de arte #oscuro #Finlandia	","sadness", 0.271
"2017-En-40609","	@username justo tengo respeto serio para cualquier hombre que puede estirar de un panecillo mejor que  puedo, gusta quizás  me pueden enseñar sus maneras.	","sadness", 0.333
"2017-En-41140","	Jugando en septiembre num, 2016 en 09:30PM/09:30pm: Demetria Taylor  #blues	","sadness", 0.271
"2017-En-22120","	@username @username @username @username @username . Utilizando miedo para declarar sus vistas . No consiguiendo los hechos antes de hacer una declaración seria ? ? ?	","sadness", 0.417
"2017-En-41354","	@username Pero todavía vuestra mi persona favorita en DF además siniestro	","sadness", 0.375
"2017-En-30340","	Justo mirado Django Desencadenado, Otras personas pueden arrugar la frente, pero I titter en delicia! 2/5	","sadness", 0.333
"2017-En-41369","	@username eres compañero siniestro	","sadness", 0.500
"2017-En-40505","	@username vuelta que gruñón arruga la frente al revés \ n \ nYou  algo luego a imposible hoy	","sadness", 0.396
"2017-En-40620","	LOL ! @username Era justo otorgó el “ F ” trofeo de bomba en #AutoDealerLive, @RealMatKoenig :) #serio	","sadness", 0.321
"2017-En-22008","	#PeopleLikeMeBecause  ven el felices exteriores, no el hopelessness I a veces sentir interior. #Ansiedad #de depresión #anxietyprobz	","sadness", 0.896
"2017-En-41520","	@username @username vuestros ingresos per cápita es casi mismos nos gusto . Gini El coeficiente es muy dismal . Las ambiciones son alto pero producción Cero .	","sadness", 0.667
"2017-En-41287","	@username Tristemente .  Es justo .. Hizo el dude tiene que yell fuera del nombre de ranas en el Clinton rally que un día .  Cambie todo	","sadness", 0.377
"2017-En-41447","	@username @username @username haha Bro es tristemente hombre casado 😩 😩	","sadness", 0.562
"2017-En-41506","	@username los ojos de Orion angostaron cuando  mire fijamente abajo en la chica, el hielo frío blues conociendo un más blando que verde habitual. Su instinto le dijo-	","sadness", 0.417
"2017-En-40268","	@username  supe  ibas a hacer que . Sin duda compraría si no viví en Texas donde te no puede jugar DFS . ... Así que deprime	","sadness", 0.583
"2017-En-41428","	perdido num lbs desde entonces I casado ( comiendo sano ) & ive ido de un num:num milla a un num: num milla en num semanas . #areyousureimagedout #Forma física	","sadness", 0.188
"2017-En-41336","	 siento gusta cantar la canción tristeza humana por juliano Cassablancas y El Voidz o algunos otra música triste . #Depresión #tristeza #triste	","sadness", 0.729
"2017-En-40899","	Atrás en el tiempo grande después de que selección anoche . Absolutamente buzzing . Trae en el roaches #SGnum #kickittomehigh #nswgaa #blues #statevstate	","sadness", 0.250
"2017-En-22017","	@username — le hace sentir enérgico . ' Bien .  Me puedes matar ahora . ' Dijo Hestia con una exhibición de desesperación única más que su joyful —	","sadness", 0.500
