@relation lexicons/arabic/translated_from_english/text_lexicons_without_instructions_etc/bingliu_ar.txt

@attribute english string 
@attribute arabic string
@attribute buckwalter string
@attribute sentscore numeric 

@data
"fractiously","fractiously","fractiously",-1
"fracture","كسر","ksr",-1
"fragile","هش","h$",-1
"fragmented","مجزأة","mjzAp",-1
"frail","ضعيف","DEyf",-1
"frantic","شديد الاهتياج","$dyd AlAhtyAj",-1
"frantically","محموم","mHmwm",-1
"franticly","franticly","franticly",-1
"fraud","احتيال","AHtyAl",-1
"fraudulent","محتال","mHtAl",-1
"fraught","مشحون","m$Hwn",-1
"frazzle","هرأ","hrA",-1
"frazzled","مبلى","mbly",-1
"freak","نزوة","nzwp",-1
"freaking","ينقط","ynqT",-1
"freakish","عجيب","Ejyb",-1
"freakishly","فظيع","fZyE",-1
"freaks","النزوات","AlnzwAt",-1
"freeze","تجمد","tjmd",-1
"freezes","تجميد","tjmyd",-1
"freezing","تجمد","tjmd",-1
"frenetic","مسعور","msEwr",-1
"frenetically","محمومة","mHmwmp",-1
"frenzied","مسعور","msEwr",-1
"frenzy","نوبة","nwbp",-1
"fret","ضايق","DAyq",-1
"fretful","عبوس","Ebws",-1
"frets","الحنق","AlHnq",-1
"friction","احتكاك","AHtkAk",-1
"frictions","الاحتكاكات","AlAHtkAkAt",-1
"fried","المقلية","Almqlyp",-1
"friggin","friggin","friggin",-1
"frigging","قارس","qArs",-1
"fright","رعب","rEb",-1
"frighten","أرعب","ArEb",-1
"frightening","مخيف","mxyf",-1
"frighteningly","مخيف","mxyf",-1
"frightful","مخيف","mxyf",-1
"frightfully","على نحو مخيف","Ely nHw mxyf",-1
"frigid","تفه","tfh",-1
"frost","صقيع","SqyE",-1
"frown","عبوس","Ebws",-1
"froze","جمدت","jmdt",-1
"frozen","مجمد","mjmd",-1
"fruitless","غير مثمر","gyr mvmr",-1
"fruitlessly","دون جدوى","dwn jdwy",-1
"frustrate","أبطل","AbTl",-1
"frustrated","محبط","mHbT",-1
"frustrates","يحبط","yHbT",-1
"frustrating","محبط","mHbT",-1
"frustratingly","محبط","mHbT",-1
"frustration","إحباط","AHbAT",-1
"frustrations","الإحباط","AlAHbAT",-1
"fuck","اللعنة","AllEnp",-1
"fucking","سخيف","sxyf",-1
"fudge","حلوى","Hlwy",-1
"fugitive","هارب","hArb",-1
"full-blown","متفتح","mtftH",-1
"fulminate","شجب","$jb",-1
"fumble","تلعثم","tlEvm",-1
"fume","دخان","dxAn",-1
"fumes","أبخرة","Abxrp",-1
"fundamentalism","الأصولية","AlASwlyp",-1
"funky","مرح","mrH",-1
"funnily","تهريج","thryj",-1
"funny","مضحك","mDHk",-1
"furious","غاضب","gADb",-1
"furiously","بشراسة","b$rAsp",-1
"furor","فضيحة","fDyHp",-1
"fury","غضب شديد","gDb $dyd",-1
"fuss","ضجيج","Djyj",-1
"fussy","نيق","nyq",-1
"fustigate","fustigate","fustigate",-1
"fusty","متحجر","mtHjr",-1
"futile","غير ذي جدوى","gyr *y jdwy",-1
"futilely","عبثا","EbvA",-1
"futility","عبث","Ebv",-1
"fuzzy","غامض","gAmD",-1
"gabble","هذر","h*r",-1
"gaff","مهماز لديك المصارعة","mhmAz ldyk AlmSArEp",-1
"gaffe","حماقة","HmAqp",-1
"gainsay","نكر","nkr",-1
"gainsayer","الناكر","AlnAkr",-1
"gall","مرارة","mrArp",-1
"galling","مثير للحنق","mvyr llHnq",-1
"gallingly","gallingly","gallingly",-1
"galls","فريق Galls","fryq Galls",-1
"gangster","رجل عصابة","rjl ESAbp",-1
"gape","تثاءب","tvA'b",-1
"garbage","قمامة","qmAmp",-1
"garish","متوهج","mtwhj",-1
"gasp","لهاث","lhAv",-1
"gauche","أخرق","Axrq",-1
"gaudy","مبهرج","mbhrj",-1
"gawk","البله","Alblh",-1
"gawky","أبله","Ablh",-1
"geezer","رجل غريب","rjl gryb",-1
"genocide","إبادة جماعية","AbAdp jmAEyp",-1
"get-rich","كن غنيا","kn gnyA",-1
"ghastly","مروع","mrwE",-1
"ghetto","غيتو","gytw",-1
"ghosting","الظلال","AlZlAl",-1
"gibber","بربر","brbr",-1
"gibberish","رطانة","rTAnp",-1
"gibe","هزء","hz'",-1
"giddy","دائخ","dA}x",-1
"gimmick","وسيلة للتحايل","wsylp lltHAyl",-1
"gimmicked","gimmicked","gimmicked",-1
"gimmicking","gimmicking","gimmicking",-1
"gimmicks","الحيل","AlHyl",-1
"gimmicky","دخيلة","dxylp",-1
"glare","وهج","whj",-1
"glaringly","على نحو مبتذل","Ely nHw mbt*l",-1
"glib","عفوي","Efwy",-1
"glibly","من غير تكلف","mn gyr tklf",-1
"glitch","خلل","xll",-1
"glitches","مواطن الخلل","mwATn Alxll",-1
"gloatingly","gloatingly","gloatingly",-1
"gloom","كآبة","kAbp",-1
"gloomy","كئيب","k}yb",-1
"glower","حملق بسخط","Hmlq bsxT",-1
"glum","كئيب","k}yb",-1
"glut","تخمة","txmp",-1
"gnawing","تلتهم","tlthm",-1
"goad","مهماز","mhmAz",-1
"goading","الثقب","Alvqb",-1
"god-awful","الله فظيعة","Allh fZyEp",-1
"goof","الأبله","AlAblh",-1
"goofy","أبله","Ablh",-1
"goon","تابع","tAbE",-1
"gossip","نميمة","nmymp",-1
"graceless","تعوزه الفضيلة","tEwzh AlfDylp",-1
"gracelessly","gracelessly","gracelessly",-1
"graft","تطعيم","tTEym",-1
"grainy","محبب","mHbb",-1
"grapple","كلاب","klAb",-1
"grate","صر","Sr",-1
"grating","حاجز مشبك","HAjz m$bk",-1
"gravely","خطير","xTyr",-1
"greasy","دهني","dhny",-1
"greed","جشع","j$E",-1
"greedy","طامع","TAmE",-1
"grief","حزن","Hzn",-1
"grievance","شكوى","$kwy",-1
"grievances","المظالم","AlmZAlm",-1
"grieve","حزن","Hzn",-1
"grieving","الحزن","AlHzn",-1
"grievous","مؤلم","mWlm",-1
"grievously","بحزن","bHzn",-1
"grim","متجهم","mtjhm",-1
"grimace","كشر","k$r",-1
"grind","طحن","THn",-1
"gripe","وجع","wjE",-1
"gripes","مغص","mgS",-1
"grisly","مخيف","mxyf",-1
"gritty","شجاع","$jAE",-1
"gross","إجمالي","AjmAly",-1
"grossly","على نحو فادح","Ely nHw fAdH",-1
"grotesque","غريب","gryb",-1
"grouch","تذمر","t*mr",-1
"grouchy","عابس","EAbs",-1
"groundless","لا أساس له","lA AsAs lh",-1
"grouse","احتج","AHtj",-1
"growl","تذمر","t*mr",-1
"grudge","ضغينة","Dgynp",-1
"grudges","الأحقاد","AlAHqAd",-1
"grudging","حسود","Hswd",-1
"grudgingly","على مضض","Ely mDD",-1
"gruesome","بشع","b$E",-1
"gruesomely","شنيع","$nyE",-1
"gruff","أجش","Aj$",-1
"grumble","تذمر","t*mr",-1
"grumpier","أحد طبعا","AHd TbEA",-1
"grumpiest","grumpiest","grumpiest",-1
"grumpily","جرومبيلي","jrwmbyly",-1
"grumpish","grumpish","grumpish",-1
"grumpy","غاضب","gADb",-1
"guile","مكر","mkr",-1
"guilt","إثم","Avm",-1
"guiltily","على نحو إجرامي","Ely nHw AjrAmy",-1
"guilty","مذنب","m*nb",-1
"gullible","ساذج","sA*j",-1
"gutless","جبان","jbAn",-1
"gutter","مزراب","mzrAb",-1
"hack","الإختراق","AlAxtrAq",-1
"hacks","الخارقة","AlxArqp",-1
"haggard","شاحب","$AHb",-1
"haggle","ساوم","sAwm",-1
"hairloss","الصلع","AlSlE",-1
"halfhearted","فاتر","fAtr",-1
"halfheartedly","غير متحمس","gyr mtHms",-1
"hallucinate","بالهلوسة","bAlhlwsp",-1
"hallucination","هلوسة","hlwsp",-1
"hamper","تعوق","tEwq",-1
"hampered","أعاق","AEAq",-1
"handicapped","معاق","mEAq",-1
"hang","علق","Elq",-1
"hangs","توقف","twqf",-1
"haphazard","صدفة","Sdfp",-1
"hapless","قليل الحظ","qlyl AlHZ",-1
"harangue","خطبة","xTbp",-1
"harass","مضايقة","mDAyqp",-1
"harassed","تحرش","tHr$",-1
"harasses","يضايق","yDAyq",-1
"harassment","مضايقة","mDAyqp",-1
"harboring","إيواء","AywA'",-1
"harbors","الموانئ","AlmwAn}",-1
"hard","الصعب","AlSEb",-1
"hard-hit","الأكثر تضررا","AlAkvr tDrrA",-1
"hard-line","المتشدد","Almt$dd",-1
"hard-liner","متشدد","mt$dd",-1
"hardball","قاسية","qAsyp",-1
"harden","قسى","qsy",-1
"hardened","تصلب","tSlb",-1
"hardheaded","عنيد","Enyd",-1
"hardhearted","قساة القلوب","qsAp Alqlwb",-1
"hardliner","متشدد","mt$dd",-1
"hardliners","المتشددين","Almt$ddyn",-1
"hardship","معاناة","mEAnAp",-1
"hardships","المصاعب","AlmSAEb",-1
"harm","ضرر","Drr",-1
"harmed","أذى","A*y",-1
"harmful","مضر","mDr",-1
"harms","الأضرار","AlADrAr",-1
"harpy","الطفيلي","AlTfyly",-1
"harridan","إمراة عجوز","AmrAp Ejwz",-1
"harried","مغزو","mgzw",-1
"harrow","مسلفة","mslfp",-1
"harsh","قاس","qAs",-1
"harshly","بخشونة","bx$wnp",-1
"hasseling","hasseling","hasseling",-1
"hassle","مشاحنة","m$AHnp",-1
"hassled","ومشارب","wm$Arb",-1
"hassles","متاعب","mtAEb",-1
"haste","تسرع","tsrE",-1
"hastily","بعجالة","bEjAlp",-1
"hasty","متسرع","mtsrE",-1
"hate","كراهية","krAhyp",-1
"hated","يكره","ykrh",-1
"hateful","بغيض","bgyD",-1
"hatefully","بكراهية","bkrAhyp",-1
"hatefulness","hatefulness","hatefulness",-1
"hater","القبعى صانع القبعات","AlqbEy SAnE AlqbEAt",-1
"haters","كارهي","kArhy",-1
"hates","يكره","ykrh",-1
"hating","كره","krh",-1
"hatred","كراهية","krAhyp",-1
"haughtily","كابرت","kAbrt",-1
"haughty","متجبر","mtjbr",-1
"haunt","تردد","trdd",-1
"haunting","مسكون بالارواح","mskwn bAlArwAH",-1
"havoc","خراب","xrAb",-1
"hawkish","الصقور","AlSqwr",-1
"haywire","أحمق","AHmq",-1
"hazard","خطر","xTr",-1
"hazardous","خطير","xTyr",-1
"haze","ضباب","DbAb",-1
"hazy","ضبابي","DbAby",-1
"head-aches","وجها لآلام","wjhA lAlAm",-1
"headache","صداع","SdAE",-1
"headaches","الصداع","AlSdAE",-1
"heartbreaker","محطم القلوب","mHTm Alqlwb",-1
"heartbreaking","مفجع","mfjE",-1
"heartbreakingly","heartbreakingly","heartbreakingly",-1
"heartless","عديم الشفقة","Edym Al$fqp",-1
"heathen","وثني","wvny",-1
"heavy-handed","الغلظة","AlglZp",-1
"heavyhearted","heavyhearted","heavyhearted",-1
"heck","تبا","tbA",-1
"heckle","قاطع بالكلام","qATE bAlklAm",-1
"heckled","قاطعه","qATEh",-1
"heckles","المرج","Almrj",-1
"hectic","محموم","mHmwm",-1
"hedge","التحوط","AltHwT",-1
"hedonistic","المتعة","AlmtEp",-1
"heedless","غافل","gAfl",-1
"hefty","ضخم","Dxm",-1
"hegemonism","الهيمنة","Alhymnp",-1
"hegemonistic","الهيمنة","Alhymnp",-1
"hegemony","سيطرة","syTrp",-1
"heinous","شنيع","$nyE",-1
"hell","الجحيم","AljHym",-1
"hell-bent","الجحيم عازمة","AljHym EAzmp",-1
"hellion","هيليون","hylywn",-1
"hells","الجحيم","AljHym",-1
"helpless","عاجز","EAjz",-1
"helplessly","بلا حول ولا قوة","blA Hwl wlA qwp",-1
"helplessness","العجز","AlEjz",-1
"heresy","بدعة","bdEp",-1
"heretic","كافر","kAfr",-1
"heretical","ابتداعي","AbtdAEy",-1
"hesitant","متردد","mtrdd",-1
"hestitant","hestitant","hestitant",-1
"hideous","بشع","b$E",-1
"hideously","مخيف","mxyf",-1
"hideousness","بشاعة","b$AEp",-1
"high-priced","عالية الثمن","EAlyp Alvmn",-1
"hiliarious","hiliarious","hiliarious",-1
"hinder","منع","mnE",-1
"hindrance","عائق","EA}q",-1
"hiss","همسة","hmsp",-1
"hissed","هيسيد","hysyd",-1
"hissing","المطلق صوتا","AlmTlq SwtA",-1
"ho-hum","همهم","hmhm",-1
"hoard","خزن","xzn",-1
"hoax","خدعة","xdEp",-1
"hobble","عرج","Erj",-1
"hogs","الخنازير","AlxnAzyr",-1
"hollow","أجوف","Ajwf",-1
"hoodium","hoodium","hoodium",-1
"hoodwink","خدع بمظهره الكاذب","xdE bmZhrh AlkA*b",-1
"hooligan","همجي","hmjy",-1
"hopeless","ميئوس منه","my}ws mnh",-1
"hopelessly","ميؤوس","myWws",-1
"hopelessness","اليأس","AlyAs",-1
"horde","حشد","H$d",-1
"horrendous","رهيبة","rhybp",-1
"horrendously","مرعب","mrEb",-1
"horrible","فظيع","fZyE",-1
"horrid","بغيض","bgyD",-1
"horrific","مرعب","mrEb",-1
"horrified","مروع","mrwE",-1
"horrifies","بالذعر","bAl*Er",-1
"horrify","أرهب","Arhb",-1
"horrifying","مروع","mrwE",-1
"horrifys","horrifys","horrifys",-1
"hostage","رهينة","rhynp",-1
"hostile","عدائي","EdA}y",-1
"hostilities","قتال","qtAl",-1
"hostility","عداء","EdA'",-1
"hotbeds","بؤر","bWr",-1
"hothead","شخص متهور","$xS mthwr",-1
"hotheaded","عجول","Ejwl",-1
"hothouse","دافئ","dAf}",-1
"hubris","الغطرسة","AlgTrsp",-1
"huckster","ساوم","sAwm",-1
"hum","همهمة","hmhmp",-1
"humid","رطب","rTb",-1
"humiliate","إذلال","A*lAl",-1
"humiliating","مذل","m*l",-1
"humiliation","إذلال","A*lAl",-1
"humming","طنين","Tnyn",-1
"hung","بدون أغلبية","bdwn Aglbyp",-1
"hurt","جرح","jrH",-1
"hurted","hurted","hurted",-1
"hurtful","مؤذ","mW*",-1
"hurting","إيذاء","Ay*A'",-1
"hurts","يسىء","ysy'",-1
"hustler","محتال","mHtAl",-1
"hype","الضجيج","AlDjyj",-1
"hypocricy","النفاق","AlnfAq",-1
"hypocrisy","نفاق","nfAq",-1
"hypocrite","منافق","mnAfq",-1
"hypocrites","المنافقين","AlmnAfqyn",-1
"hypocritical","منافق","mnAfq",-1
"hypocritically","منافق","mnAfq",-1
"hysteria","هستيريا","hstyryA",-1
"hysteric","هستيري","hstyry",-1
"hysterical","هستيري","hstyry",-1
"hysterically","في حالة هستيرية","fy HAlp hstyryp",-1
"hysterics","نوبة ضحك","nwbp DHk",-1
"idiocies","مقولات","mqwlAt",-1
"idiocy","حماقة","HmAqp",-1
"idiot","الأبله","AlAblh",-1
"idiotic","أحمق","AHmq",-1
"idiotically","بغباء","bgbA'",-1
"idiots","البلهاء","AlblhA'",-1
"idle","خامل","xAml",-1
"ignoble","خسيس","xsys",-1
"ignominious","مذل","m*l",-1
"ignominiously","مخزية","mxzyp",-1
"ignominy","خزي","xzy",-1
"ignorance","جهل","jhl",-1
"ignorant","جاهل","jAhl",-1
"ignore","تجاهل","tjAhl",-1
"ill-advised","غير حكيم","gyr Hkym",-1
"ill-conceived","غير المدروسة","gyr Almdrwsp",-1
"ill-defined","غير محددة","gyr mHddp",-1
"ill-designed","سوء التصميم","sw' AltSmym",-1
"ill-fated","منحوس","mnHws",-1
"ill-favored","سوء حظوة","sw' HZwp",-1
"ill-formed","سوء تشكيلها","sw' t$kylhA",-1
"ill-mannered","غير مؤدب","gyr mWdb",-1
"ill-natured","سوء المحيا","sw' AlmHyA",-1
"ill-sorted","سوء فرزها","sw' frzhA",-1
"ill-tempered","سوء المزاج","sw' AlmzAj",-1
"ill-treated","سوء المعاملة","sw' AlmEAmlp",-1
"ill-treatment","سوء المعاملة","sw' AlmEAmlp",-1
"ill-usage","سوء الاستعمال","sw' AlAstEmAl",-1
"ill-used","سوء استخدامها","sw' AstxdAmhA",-1
"illegal","غير شرعي","gyr $rEy",-1
"illegally","بشكل غير قانوني","b$kl gyr qAnwny",-1
"illegitimate","غير شرعي","gyr $rEy",-1
"illicit","غير مشروع","gyr m$rwE",-1
"illiterate","أمي","Amy",-1
"illness","مرض","mrD",-1
"illogic","اللامنطق","AllAmnTq",-1
"illogical","غير منطقي","gyr mnTqy",-1
"illogically","غير منطقي","gyr mnTqy",-1
"illusion","وهم","whm",-1
"illusions","أوهام","AwhAm",-1
"illusory","موهم","mwhm",-1
"imaginary","تخيلي","txyly",-1
"imbalance","الخلل","Alxll",-1
"imbecile","أبله","Ablh",-1
"imbroglio","وضع معقد","wDE mEqd",-1
"immaterial","غير هام","gyr hAm",-1
"immature","غير ناضج","gyr nADj",-1
"imminence","قرب حدوث","qrb Hdwv",-1
"imminently","قريبا","qrybA",-1
"immobilized","يجمد","yjmd",-1
"immoderate","مفرط","mfrT",-1
"immoderately","على نحو مخالف للعادة","Ely nHw mxAlf llEAdp",-1
"immodest","غير متواضع","gyr mtwADE",-1
"immoral","فاسق","fAsq",-1
"immorality","فجور","fjwr",-1
"immorally","غير أخلاقية","gyr AxlAqyp",-1
"immovable","صامد","SAmd",-1
"impair","يضعف","yDEf",-1
"impaired","ضعاف","DEAf",-1
"impasse","طريق مسدود","Tryq msdwd",-1
"impatience","نفاذ صبر","nfA* Sbr",-1
"impatient","نافذ الصبر","nAf* AlSbr",-1
"impatiently","بفارغ الصبر","bfArg AlSbr",-1
"impeach","شكك","$kk",-1
"impedance","مقاومة","mqAwmp",-1
"impede","إعاقة","AEAqp",-1
"impediment","عائق","EA}q",-1
"impending","وشيك الحدوث","w$yk AlHdwv",-1
"impenitent","سادر غير نادم","sAdr gyr nAdm",-1
"imperfect","انا ممتاز","AnA mmtAz",-1
"imperfection","نقص","nqS",-1
"imperfections","عيوب","Eywb",-1
"imperfectly","ناقص","nAqS",-1
"imperialist","مستعمر","mstEmr",-1
"imperil","عرض للخطر","ErD llxTr",-1
"imperious","مستبد","mstbd",-1
"imperiously","بغطرسة","bgTrsp",-1
"impermissible","غير مسموح به","gyr msmwH bh",-1
"impersonal","لا شخصي","lA $xSy",-1
"impertinent","وقح","wqH",-1
"impetuous","متهور","mthwr",-1
"impetuously","متهور","mthwr",-1
"impiety","عقوق","Eqwq",-1
"impinge","ارتطم","ArtTm",-1
"impious","عاق","EAq",-1
"implacable","عنيد","Enyd",-1
"implausible","غير قابل للتصديق","gyr qAbl lltSdyq",-1
"implausibly","غير قابل للتصديق","gyr qAbl lltSdyq",-1
"implicate","ورط","wrT",-1
"implication","تضمين","tDmyn",-1
"implode","تنهار","tnhAr",-1
"impolite","غير مهذب","gyr mh*b",-1
"impolitely","بطريقة غير مؤدبة","bTryqp gyr mWdbp",-1
"impolitic","غير حكيم","gyr Hkym",-1
"importunate","ملح","mlH",-1
"importune","ضجر","Djr",-1
"impose","فرض","frD",-1
"imposers","imposers","imposers",-1
"imposing","فرض","frD",-1
"imposition","فرض","frD",-1
"impossible","مستحيل","mstHyl",-1
"impossiblity","impossiblity","impossiblity",-1
"impossibly","مستحيل","mstHyl",-1
"impotent","واهن","wAhn",-1
"impoverish","فقر","fqr",-1
"impoverished","أفقر","Afqr",-1
"impractical","غير عملي","gyr Emly",-1
"imprecate","لعن","lEn",-1
"imprecise","غير دقيق","gyr dqyq",-1
"imprecisely","غير دقيق","gyr dqyq",-1
"imprecision","عدم الدقة","Edm Aldqp",-1
"imprison","حبس","Hbs",-1
"imprisonment","حبس","Hbs",-1
"improbability","اللااحتمالية","AllAAHtmAlyp",-1
"improbable","غير محتمل","gyr mHtml",-1
"improbably","بصورة غير محتملة","bSwrp gyr mHtmlp",-1
"improper","غير مناسب","gyr mnAsb",-1
"improperly","غير صحيح","gyr SHyH",-1
"impropriety","خطاء","xTA'",-1
"imprudence","تهور","thwr",-1
"imprudent","طائش","TA}$",-1
"impudence","وقاحة","wqAHp",-1
"impudent","وقح","wqH",-1
"impudently","بوقاحة","bwqAHp",-1
"impugn","فند","fnd",-1
"impulsive","مندفع","mndfE",-1
"impulsively","بتهور","bthwr",-1
"impunity","حصانة","HSAnp",-1
"impure","نجس","njs",-1
"impurity","نجاسة","njAsp",-1
"inability","عجز","Ejz",-1
"inaccuracies","عدم الدقة","Edm Aldqp",-1
"inaccuracy","عدم دقة","Edm dqp",-1
"inaccurate","غير دقيق","gyr dqyq",-1
"inaccurately","غير دقيق","gyr dqyq",-1
"inaction","تراخ","trAx",-1
"inactive","غير فعال","gyr fEAl",-1
"inadequacy","عدم ملائمة","Edm mlA}mp",-1
"inadequate","غير ملائم","gyr mlA}m",-1
"inadequately","غير كافية","gyr kAfyp",-1
"inadverent","inadverent","inadverent",-1
"inadverently","inadverently","inadverently",-1
"inadvisable","غير مناسب","gyr mnAsb",-1
"inadvisably","inadvisably","inadvisably",-1
"inane","تافه","tAfh",-1
"inanely","inanely","inanely",-1
"inappropriate","غير مناسب","gyr mnAsb",-1
"inappropriately","غير لائق","gyr lA}q",-1
"inapt","غير ملائم","gyr mlA}m",-1
"inaptitude","عدم ملائمة","Edm mlA}mp",-1
"inarticulate","عاجز عن الافصاح","EAjz En AlAfSAH",-1
"inattentive","غافل","gAfl",-1
"inaudible","غير مسموع","gyr msmwE",-1
"incapable","غير قادر","gyr qAdr",-1
"incapably","incapably","incapably",-1
"incautious","غافل","gAfl",-1
"incendiary","حارق","HArq",-1
"incense","بخور","bxwr",-1
"incessant","متواصل","mtwASl",-1
"incessantly","بلا انقطاع","blA AnqTAE",-1
"incite","حرض","HrD",-1
"incitement","تحريض","tHryD",-1
"incivility","قلة أدب","qlp Adb",-1
"inclement","عاصف","EASf",-1
"incognizant","incognizant","incognizant",-1
"incoherence","عدم الترابط","Edm AltrAbT",-1
"incoherent","غير مترابط","gyr mtrAbT",-1
"incoherently","متفكك","mtfkk",-1
"incommensurate","غير متكافئ","gyr mtkAf}",-1
"incomparable","لا يقارن","lA yqArn",-1
"incomparably","لا يقاس","lA yqAs",-1
"incompatability","incompatability","incompatability",-1
"incompatibility","التوافق","AltwAfq",-1
"incompatible","غير متوافق","gyr mtwAfq",-1
"incompetence","عجز","Ejz",-1
"incompetent","غير كفؤ","gyr kfW",-1
"incompetently","غير واف","gyr wAf",-1
"incomplete","غير كامل","gyr kAml",-1
"incompliant","غير مطابقة","gyr mTAbqp",-1
"incomprehensible","غامض","gAmD",-1
"incomprehension","لا فهم","lA fhm",-1
"inconceivable","لا يصدق","lA ySdq",-1
"inconceivably","لا يصدق","lA ySdq",-1
"incongruous","غير مناسب","gyr mnAsb",-1
"incongruously","مستغربة","mstgrbp",-1
"inconsequent","غير منطقي","gyr mnTqy",-1
"inconsequential","غير منطقي","gyr mnTqy",-1
"inconsequentially","inconsequentially","inconsequentially",-1
"inconsequently","inconsequently","inconsequently",-1
"inconsiderate","متهور","mthwr",-1
"inconsiderately","متهور","mthwr",-1
"inconsistence","غير متجانسة","gyr mtjAnsp",-1
"inconsistencies","التناقضات","AltnAqDAt",-1
"inconsistency","تضارب","tDArb",-1
"inconsistent","غير متناسقة","gyr mtnAsqp",-1
"inconsolable","لا عزاء له","lA EzA' lh",-1
"inconsolably","بشكل فادح","b$kl fAdH",-1
"inconstant","متقلب","mtqlb",-1
"inconvenience","إزعاج","AzEAj",-1
"inconveniently","غير مناسب","gyr mnAsb",-1
"incorrect","غير صحيح","gyr SHyH",-1
"incorrectly","غير صحيح","gyr SHyH",-1
"incorrigible","عنيد","Enyd",-1
"incorrigibly","incorrigibly","incorrigibly",-1
"incredulous","شكاك","$kAk",-1
"incredulously","بشكوك","b$kwk",-1
"inculcate","غرس","grs",-1
"indecency","بذاءة","b*A'p",-1
"indecent","غير لائق","gyr lA}q",-1
"indecently","غير محتشمة","gyr mHt$mp",-1
"indecision","تردد","trdd",-1
"indecisive","غير حاسم","gyr HAsm",-1
"indecisively","indecisively","indecisively",-1
"indecorum","شىء غير محتشم","$y' gyr mHt$m",-1
"indefensible","غير قابل للإلغاء","gyr qAbl llAlgA'",-1
"indelicate","غير محتشم","gyr mHt$m",-1
"indeterminable","متعذر تحديده","mtE*r tHdydh",-1
"indeterminably","indeterminably","indeterminably",-1
"indeterminate","غير محدد","gyr mHdd",-1
"indifference","لا مبالاة","lA mbAlAp",-1
"indifferent","غير مبال","gyr mbAl",-1
"indigent","معوز","mEwz",-1
"indignant","ساخط","sAxT",-1
"indignantly","بسخط","bsxT",-1
"indignation","سخط","sxT",-1
"indignity","إهانة","AhAnp",-1
"indiscernible","غير مدرك","gyr mdrk",-1
"indiscreet","غير حكيم","gyr Hkym",-1
"indiscreetly","indiscreetly","indiscreetly",-1
"indiscretion","طيش","Ty$",-1
"indiscriminate","غير مميز","gyr mmyz",-1
"indiscriminately","دون تمييز","dwn tmyyz",-1
"indiscriminating","indiscriminating","indiscriminating",-1
"indistinguishable","لا يمكن تميزه","lA ymkn tmyzh",-1
"indoctrinate","لقن","lqn",-1
"indoctrination","التلقين","Altlqyn",-1
"indolent","كسلان","kslAn",-1
"indulge","دلل","dll",-1
"ineffective","غير فعال","gyr fEAl",-1
"ineffectively","غير فعال","gyr fEAl",-1
"ineffectiveness","عدم فعالية","Edm fEAlyp",-1
"ineffectual","غير فعال","gyr fEAl",-1
"ineffectually","غير نافع","gyr nAfE",-1
"ineffectualness","ineffectualness","ineffectualness",-1
"inefficacious","عاجز عن إحداث","EAjz En AHdAv",-1
"inefficacy","لافعالية","lAfEAlyp",-1
"inefficiency","عدم الكفاءة","Edm AlkfA'p",-1
"inefficient","غير فعال","gyr fEAl",-1
"inefficiently","غير فعال","gyr fEAl",-1
"inelegance","لا أناقة به","lA AnAqp bh",-1
"inelegant","غير مصقول","gyr mSqwl",-1
"ineligible","غير مؤهل","gyr mWhl",-1
"ineloquent","ineloquent","ineloquent",-1
"ineloquently","ineloquently","ineloquently",-1
"inept","غير كفؤ","gyr kfW",-1
"ineptitude","سخافة","sxAfp",-1
"ineptly","بعدم كفاءة","bEdm kfA'p",-1
"inequalities","عدم المساواة","Edm AlmsAwAp",-1
"inequality","تفاوت","tfAwt",-1
"inequitable","غير منصف","gyr mnSf",-1
"inequitably","غير منصف","gyr mnSf",-1
"inequities","عدم المساواة","Edm AlmsAwAp",-1
"inescapable","لا مفر منه","lA mfr mnh",-1
"inescapably","لا مفر منه","lA mfr mnh",-1
"inessential","غير جوهري","gyr jwhry",-1
"inevitable","لا مفر منه","lA mfr mnh",-1
"inevitably","حتما","HtmA",-1
"inexcusable","لا يصفح عنه","lA ySfH Enh",-1
"inexcusably","غير مبرر","gyr mbrr",-1
"inexorable","عنيد","Enyd",-1
"inexorably","لا محالة","lA mHAlp",-1
"inexperience","قلة خبرة","qlp xbrp",-1
"inexperienced","غر","gr",-1
"inexpert","غير حاذق","gyr HA*q",-1
"inexpertly","inexpertly","inexpertly",-1
"inexpiable","inexpiable","inexpiable",-1
"inexplainable","inexplainable","inexplainable",-1
"inextricable","معقد","mEqd",-1
"inextricably","لا ينفصم","lA ynfSm",-1
"infamous","سيء السمعة","sy' AlsmEp",-1
"infamously","سيئ السمعة","sy} AlsmEp",-1
"infamy","خزي","xzy",-1
"infected","إصابة","ASAbp",-1
"infection","عدوى","Edwy",-1
"infections","العدوى","AlEdwy",-1
"inferior","السفلي","Alsfly",-1
"inferiority","عقدة النقص","Eqdp AlnqS",-1
"infernal","جهنمي","jhnmy",-1
"infest","أزعج","AzEj",-1
"infested","محتشر","mHt$r",-1
"infidel","كافر","kAfr",-1
"infidels","الكفار","AlkfAr",-1
"infiltrator","المتسلل","Almtsll",-1
"infiltrators","متسللين","mtsllyn",-1
"infirm","عاجز","EAjz",-1
"inflame","غضب","gDb",-1
"inflammation","التهاب","AlthAb",-1
"inflammatory","التهابي","AlthAby",-1
"inflammed","inflammed","inflammed",-1
"inflated","منفوخ","mnfwx",-1
"inflationary","تضخمي","tDxmy",-1
"inflexible","غير قابل للثني","gyr qAbl llvny",-1
"inflict","إلحاق","AlHAq",-1
